model,benchmark,lang,shot,accuracy,sd,runs
bloom-1b7,encopa,en,0,67.0,,1
bloom-1b7,encopa,en,4,66.4,1.1401754250991392,5
bloom-1b7,xcopa,et,0,45.8,,1
bloom-1b7,xcopa,et,4,48.44,0.6693280212272623,5
bloom-1b7,xcopa,ht,0,45.8,,1
bloom-1b7,xcopa,ht,4,48.760000000000005,0.8414273587185065,5
bloom-1b7,xcopa,id,0,63.8,,1
bloom-1b7,xcopa,id,4,62.720000000000006,1.7239489551607987,5
bloom-1b7,xcopa,it,0,50.4,,1
bloom-1b7,xcopa,it,4,49.839999999999996,1.9919839356781965,5
bloom-1b7,xcopa,qu,0,51.4,,1
bloom-1b7,xcopa,qu,4,51.839999999999996,0.5176871642217915,5
bloom-1b7,xcopa,sw,0,53.8,,1
bloom-1b7,xcopa,sw,4,53.760000000000005,0.47749345545252986,5
bloom-1b7,xcopa,ta,0,55.0,,1
bloom-1b7,xcopa,ta,4,57.44,0.841427358718505,5
bloom-1b7,xcopa,th,0,51.6,,1
bloom-1b7,xcopa,th,4,49.56,0.43358966777357566,5
bloom-1b7,xcopa,tr,0,54.4,,1
bloom-1b7,xcopa,tr,4,53.67999999999999,1.0158740079360271,5
bloom-1b7,xcopa,vi,0,61.2,,1
bloom-1b7,xcopa,vi,4,60.44,0.7127411872482181,5
bloom-1b7,xcopa,zh,0,56.4,,1
bloom-1b7,xcopa,zh,4,62.67999999999999,1.221474518768196,5
bloom-1b7,xsc,ar,0,58.2,,1
bloom-1b7,xsc,ar,4,60.160000000000004,1.013903348450927,5
bloom-1b7,xsc,es,0,66.8,,1
bloom-1b7,xsc,es,4,66.32000000000001,0.8555699854482999,5
bloom-1b7,xsc,eu,0,57.2,,1
bloom-1b7,xsc,eu,4,54.760000000000005,0.7924645102463581,5
bloom-1b7,xsc,hi,0,59.6,,1
bloom-1b7,xsc,hi,4,60.67999999999999,1.0353743284435812,5
bloom-1b7,xsc,id,0,65.0,,1
bloom-1b7,xsc,id,4,66.08,0.9444575162494062,5
bloom-1b7,xsc,my,0,53.0,,1
bloom-1b7,xsc,my,4,53.6,1.7944358444926374,5
bloom-1b7,xsc,ru,0,59.4,,1
bloom-1b7,xsc,ru,4,58.160000000000004,0.9939818911831371,5
bloom-1b7,xsc,sw,0,60.6,,1
bloom-1b7,xsc,sw,4,59.760000000000005,0.9939818911831325,5
bloom-1b7,xsc,te,0,59.2,,1
bloom-1b7,xsc,te,4,59.44,0.5176871642217925,5
bloom-1b7,xsc,zh,0,64.8,,1
bloom-1b7,xsc,zh,4,66.4,0.9899494936611642,5
bloom-3b,encopa,en,0,75.0,,1
bloom-3b,encopa,en,4,69.0,1.8708286933869716,5
bloom-3b,xcopa,et,0,49.2,,1
bloom-3b,xcopa,et,4,48.72,0.3633180424917002,5
bloom-3b,xcopa,ht,0,46.6,,1
bloom-3b,xcopa,ht,4,47.08,1.5974980438172715,5
bloom-3b,xcopa,id,0,64.0,,1
bloom-3b,xcopa,id,4,64.44,0.6387487769068494,5
bloom-3b,xcopa,it,0,50.8,,1
bloom-3b,xcopa,it,4,51.279999999999994,1.3160547101089668,5
