model,lang,premium,fertility,strr,family,vocab_use
xglm-7.5B,et,1.1744,2.0166,0.4059,xglm,6452
xglm-7.5B,ht,1.2581,1.5612,0.5935,xglm,4243
xglm-7.5B,id,0.9984,1.4477,0.6882,xglm,5939
xglm-7.5B,it,1.2481,1.4747,0.6825,xglm,6971
xglm-7.5B,sw,1.2493,1.6855,0.5342,xglm,4942
xglm-7.5B,ta,1.5359,2.6302,0.2489,xglm,2222
xglm-7.5B,th,1.1812,,,xglm,3942
xglm-7.5B,tr,1.1193,1.8259,0.464,xglm,6324
xglm-7.5B,vi,1.2842,1.2007,0.8351,xglm,3527
xglm-7.5B,zh,1.1224,,,xglm,4443
xglm-7.5B,qu,1.4221,2.5623,0.188,xglm,4334
xglm-7.5B,ru,1.2011,1.7554,0.5177,xglm,7997
xglm-7.5B,es,1.2434,1.3695,0.7299,xglm,6840
xglm-7.5B,ar,1.2911,1.8887,0.4387,xglm,5013
xglm-7.5B,hi,1.4064,1.5755,0.6302,xglm,3548
xglm-7.5B,te,1.4854,2.5191,0.293,xglm,2855
xglm-7.5B,eu,1.3391,2.1751,0.3036,xglm,4974
xglm-7.5B,my,1.8858,,,xglm,1566
bloom-7b1,et,1.7677,2.9699,0.18,bloom,4451
bloom-7b1,ht,1.5623,1.8994,0.4317,bloom,3807
bloom-7b1,id,0.9631,1.8605,0.3855,bloom,6499
bloom-7b1,it,1.6208,2.0072,0.4074,bloom,5720
bloom-7b1,sw,1.2445,2.036,0.3122,bloom,5188
bloom-7b1,ta,1.2842,2.8072,0.148,bloom,4892
bloom-7b1,th,4.5702,,,bloom,836
bloom-7b1,tr,1.9594,3.1135,0.163,bloom,4047
bloom-7b1,vi,1.2646,1.5517,0.5144,bloom,4204
bloom-7b1,zh,0.9144,,,bloom,7494
bloom-7b1,qu,1.8362,3.2947,0.0937,bloom,4135
bloom-7b1,ru,2.4554,3.4921,0.1847,bloom,1090
bloom-7b1,es,1.2067,1.7099,0.5277,bloom,7744
bloom-7b1,ar,1.1483,2.0743,0.3253,bloom,6956
bloom-7b1,hi,1.2816,1.7292,0.5059,bloom,5427
bloom-7b1,te,1.3285,2.725,0.1971,bloom,4911
bloom-7b1,eu,1.1477,2.4113,0.1851,bloom,6942
bloom-7b1,my,9.9936,,,bloom,497
