model,lang,proportion
xglm-7.5B,et,3287
xglm-7.5B,ht,87
xglm-7.5B,id,15424
xglm-7.5B,it,41930
xglm-7.5B,sw,908
xglm-7.5B,ta,1477
xglm-7.5B,th,10842
xglm-7.5B,tr,12413
xglm-7.5B,vi,11199
xglm-7.5B,zh,132770
xglm-7.5B,qu,3
xglm-7.5B,ru,147792
xglm-7.5B,es,87303
xglm-7.5B,ar,12249
xglm-7.5B,hi,3448
xglm-7.5B,te,689
xglm-7.5B,eu,105
xglm-7.5B,my,101
bloom-7b1,id,19972325222
bloom-7b1,ta,7989206220
bloom-7b1,vi,43709279959
bloom-7b1,zh,261781923042
bloom-7b1,sw,236482543
bloom-7b1,es,175098365045
bloom-7b1,ar,74854900600
bloom-7b1,hi,24622119985
bloom-7b1,te,2993407159
bloom-7b1,eu,2360470848
